,confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr
0,217,217,25,25,188,188,20200119,4,4
1,291,74,25,0,260,72,20200120,6,2
2,440,149,25,0,406,146,20200121,9,3
3,571,131,28,3,526,120,20200122,17,8
4,835,264,34,6,776,250,20200123,25,8
5,1297,462,38,4,1218,442,20200124,41,16
6,1985,688,49,11,1880,662,20200125,56,15
7,2762,777,51,2,2631,751,20200126,80,24
8,4535,1773,60,9,4369,1738,20200127,106,26
9,5999,1464,103,43,5764,1395,20200128,132,26
10,7736,1737,124,21,7442,1678,20200129,170,38
11,9720,1984,171,47,9336,1894,20200130,213,43
12,11821,2101,243,72,11319,1983,20200131,259,46
13,14411,2590,328,85,13779,2460,20200201,304,45
14,17238,2827,475,147,16402,2623,20200202,361,57
15,20471,3233,632,157,19414,3012,20200203,425,64
16,24363,3892,892,260,22980,3566,20200204,491,66
17,28060,3697,1153,261,26343,3363,20200205,564,73
18,31211,3151,1542,389,29032,2689,20200206,637,73
19,34598,3387,2052,510,31823,2791,20200207,723,86
20,37251,2653,2651,599,33788,1965,20200208,812,89
21,40174,2923,3283,632,35982,2194,20200209,909,97
22,42641,2467,3998,715,37626,1644,20200210,1017,108
23,44656,2015,4742,744,38800,1174,20200211,1114,97
24,60921,16265,5915,1173,53638,14838,20200212,1368,254
25,63932,3011,6728,813,55823,2185,20200213,1381,13
26,66576,2644,8101,1373,56951,1128,20200214,1524,143
27,68584,2008,9425,1324,57493,542,20200215,1666,142
28,70635,2051,10853,1428,58010,517,20200216,1772,106
29,72528,1893,12561,1708,58097,87,20200217,1870,98
30,74279,1751,14387,1826,57886,-211,20200218,2006,136
31,75101,822,16170,1783,56810,-1076,20200219,2121,115
32,75993,892,18279,2109,55475,-1335,20200220,2239,118
33,76392,399,20673,2394,53371,-2104,20200221,2348,109
34,77041,649,22907,2234,51689,-1682,20200222,2445,97
35,77262,221,24757,1850,49910,-1779,20200223,2595,150
36,77779,517,27353,2596,47760,-2150,20200224,2666,71
37,78190,411,29775,2422,45697,-2063,20200225,2718,52
38,78630,440,32531,2756,43352,-2345,20200226,2747,29
39,78959,329,36157,3626,40011,-3341,20200227,2791,44
40,79389,430,39049,2892,37502,-2509,20200228,2838,47
41,79968,579,41675,2626,35420,-2082,20200229,2873,35
42,80174,206,44518,2843,32741,-2679,20200301,2915,42
43,80302,128,47260,2742,30096,-2645,20200302,2946,31
44,80422,120,49914,2654,27524,-2572,20200303,2984,38
45,80565,143,52109,2195,25441,-2083,20200304,3015,31
46,80710,145,53793,1684,23872,-1569,20200305,3045,30
47,80813,103,55477,1684,22263,-1609,20200306,3073,28
48,80859,46,57143,1666,20616,-1647,20200307,3100,27
49,80904,45,58684,1541,19097,-1519,20200308,3123,23
50,80924,20,59982,1298,17802,-1295,20200309,3140,17
51,80955,31,61567,1585,16226,-1576,20200310,3162,22
52,80980,25,62887,1320,14920,-1306,20200311,3173,11
53,81003,23,64216,1329,13607,-1313,20200312,3180,7
54,81021,18,65649,1433,12178,-1429,20200313,3194,14
55,81048,27,67022,1373,10822,-1356,20200314,3204,10
56,81077,29,67863,841,9996,-826,20200315,3218,14
57,81116,39,68799,936,9086,-910,20200316,3231,13
58,81151,35,69725,926,8184,-902,20200317,3242,11
59,81235,84,70547,822,7438,-746,20200318,3250,8
60,81300,65,71284,737,6763,-675,20200319,3253,3
61,81416,116,71876,592,6279,-484,20200320,3261,8
62,81498,82,72382,506,5849,-430,20200321,3267,6
63,81600,102,72841,459,5483,-366,20200322,3276,9
64,81747,147,73299,458,5165,-318,20200323,3283,7
65,81847,100,73791,492,4769,-396,20200324,3287,4
66,81960,113,74196,405,4471,-298,20200325,3293,6
67,82078,118,74737,541,4043,-428,20200326,3298,5
68,82213,135,75122,385,3790,-253,20200327,3301,3
69,82341,128,75600,478,3435,-355,20200328,3306,5
70,82447,106,75937,337,3199,-236,20200329,3311,5
71,82545,98,76225,288,3006,-193,20200330,3314,3
72,82631,86,76415,190,2895,-111,20200331,3321,7
73,82724,93,76610,195,2787,-108,20200401,3327,6
74,82802,78,76785,175,2686,-101,20200402,3331,4
75,82875,73,76984,199,2556,-130,20200403,3335,4
